time_s,mode,targetDepth_m,depth_m,current_A,currentRawAdc,controlOutput,Kp,Ki,Kd
0.100,1,1.0000,0.1514,0.000,514.000,4.87204,5.000,0.180,7.500
0.200,1,1.0000,0.1493,-0.244,509.000,3.82369,5.000,0.180,7.500
0.300,1,1.0000,0.1473,-0.293,508.000,4.61634,5.000,0.180,7.500
0.400,1,1.0000,0.1432,-2.786,457.000,4.95902,5.000,0.180,7.500
0.500,1,1.0000,0.1432,-0.733,499.000,5.12781,5.000,0.180,7.500
0.600,1,1.0000,0.1442,-0.635,501.000,4.06420,5.000,0.180,7.500
0.700,1,1.0000,0.1432,-0.635,501.000,4.08475,5.000,0.180,7.500
0.800,1,1.0000,0.1442,-0.587,502.000,3.78824,5.000,0.180,7.500
0.900,1,1.0000,0.1391,-0.587,502.000,4.59638,5.000,0.180,7.500
1.000,1,1.0000,0.1411,-0.587,502.000,3.83457,5.000,0.180,7.500
1.171,1,1.0000,0.1411,-0.635,501.000,4.47467,5.000,0.180,7.500
1.216,1,1.0000,0.1371,-0.587,502.000,5.18398,5.000,0.180,7.500
1.337,1,1.0000,0.1340,-3.812,436.000,3.96101,5.000,0.180,7.500
1.418,1,1.0000,0.1207,-4.203,428.000,7.49211,5.000,0.180,7.500
1.539,1,1.0000,0.1330,-2.102,471.000,3.03888,5.000,0.180,7.500
1.630,1,1.0000,0.1371,-0.684,500.000,4.56674,5.000,0.180,7.500
1.711,1,1.0000,0.1258,-6.843,374.000,6.16986,5.000,0.180,7.500
1.800,1,1.0000,0.1289,-10.264,304.000,3.35587,5.000,0.180,7.500
1.900,1,1.0000,0.1258,-3.812,436.000,5.43247,5.000,0.180,7.500
2.000,1,1.0000,0.1299,-0.929,495.000,4.66059,5.000,0.180,7.500
2.175,1,1.0000,0.1340,-0.635,501.000,4.49208,5.000,0.180,7.500
2.220,1,1.0000,0.1309,-0.587,502.000,5.20120,5.000,0.180,7.500
2.301,1,1.0000,0.1238,-6.549,380.000,6.46425,5.000,0.180,7.500
2.422,1,1.0000,0.1166,-4.106,430.000,3.64273,5.000,0.180,7.500
2.507,1,1.0000,0.1278,-3.568,441.000,4.17515,5.000,0.180,7.500
2.635,1,1.0000,0.1299,-0.684,500.000,3.99327,5.000,0.180,7.500
2.716,1,1.0000,0.1176,-6.745,376.000,6.36871,5.000,0.180,7.500
2.800,1,1.0000,0.1125,-12.414,260.000,5.94383,5.000,0.180,7.500
2.900,1,1.0000,0.1227,-3.666,439.000,4.68472,5.000,0.180,7.500
3.000,1,1.0000,0.1289,-0.880,496.000,3.74927,5.000,0.180,7.500
3.176,1,1.0000,0.1227,-0.635,501.000,5.14318,5.000,0.180,7.500
3.219,1,1.0000,0.1258,-0.635,501.000,4.33791,5.000,0.180,7.500
3.305,1,1.0000,0.1227,-0.635,501.000,5.86084,5.000,0.180,7.500
3.426,1,1.0000,0.0992,-4.057,431.000,7.91554,5.000,0.180,7.500
3.507,1,1.0000,0.1227,-1.808,477.000,4.16706,5.000,0.180,7.500
3.635,1,1.0000,0.1238,-1.369,486.000,3.79867,5.000,0.180,7.500
3.716,1,1.0000,0.1166,-6.989,371.000,5.38151,5.000,0.180,7.500
3.800,1,1.0000,0.1135,-12.757,253.000,5.20510,5.000,0.180,7.500
3.900,1,1.0000,0.1197,-3.372,445.000,4.85845,5.000,0.180,7.500
4.000,1,1.0000,0.1207,-0.978,494.000,5.48282,5.000,0.180,7.500
4.100,1,1.0000,0.1238,-0.587,502.000,5.02299,5.000,0.180,7.500
4.200,1,1.0000,0.1207,-0.587,502.000,4.74734,5.000,0.180,7.500
4.300,1,1.0000,0.1217,-0.587,502.000,4.45124,5.000,0.180,7.500
4.400,1,1.0000,0.1217,-0.587,502.000,4.46709,5.000,0.180,7.500
4.500,1,1.0000,0.1248,-0.587,502.000,4.31413,5.000,0.180,7.500
4.600,1,1.0000,0.1176,-0.587,502.000,4.97948,5.000,0.180,7.500
4.700,1,1.0000,0.1166,-0.587,502.000,6.22779,5.000,0.180,7.500
4.800,1,1.0000,0.1186,-0.587,502.000,4.69927,5.000,0.180,7.500
4.900,1,1.0000,0.1176,-0.587,502.000,5.33392,5.000,0.180,7.500
5.000,1,1.0000,0.1186,-0.538,503.000,4.88444,5.000,0.180,7.500
5.100,1,1.0000,0.1176,-0.587,502.000,6.08391,5.000,0.180,7.500
5.200,1,1.0000,0.1156,-0.587,502.000,6.31223,5.000,0.180,7.500
5.300,1,1.0000,0.1197,-0.587,502.000,5.23370,5.000,0.180,7.500
5.400,1,1.0000,0.1176,-0.587,502.000,4.95299,5.000,0.180,7.500
5.500,1,1.0000,0.1156,-0.587,502.000,5.43938,5.000,0.180,7.500
5.600,1,1.0000,0.1135,-0.587,502.000,5.46556,5.000,0.180,7.500
5.700,1,1.0000,0.1176,-0.587,502.000,4.38711,5.000,0.180,7.500
5.800,1,1.0000,0.1156,-0.587,502.000,5.33377,5.000,0.180,7.500
5.900,1,1.0000,0.1135,-0.587,502.000,5.20654,5.000,0.180,7.500
6.000,1,1.0000,0.1094,-0.587,502.000,7.08394,5.000,0.180,7.500
6.100,1,1.0000,0.1135,-0.587,502.000,5.91483,5.000,0.180,7.500
6.200,1,1.0000,0.1125,-0.587,502.000,5.87314,5.000,0.180,7.500
6.300,1,1.0000,0.1156,-0.587,502.000,5.41346,5.000,0.180,7.500
6.400,1,1.0000,0.1125,-0.587,502.000,5.75160,5.000,0.180,7.500
6.500,1,1.0000,0.1084,-0.587,502.000,5.63466,5.000,0.180,7.500
6.600,1,1.0000,0.1146,-0.587,502.000,4.85287,5.000,0.180,7.500
6.700,1,1.0000,0.1064,-0.587,502.000,5.98376,5.000,0.180,7.500
6.800,1,1.0000,0.1094,-0.587,502.000,5.83101,5.000,0.180,7.500
6.900,1,1.0000,0.1125,-0.587,502.000,4.75777,5.000,0.180,7.500
7.000,1,1.0000,0.1135,-0.587,502.000,5.84252,5.000,0.180,7.500
7.100,1,1.0000,0.1135,-0.587,502.000,4.85433,5.000,0.180,7.500
7.200,1,1.0000,0.1074,-0.587,502.000,6.05866,5.000,0.180,7.500
7.300,1,1.0000,0.1043,-0.587,502.000,6.24350,5.000,0.180,7.500
7.400,1,1.0000,0.1115,-0.587,502.000,5.30321,5.000,0.180,7.500
7.500,1,1.0000,0.1053,-0.587,502.000,6.42388,5.000,0.180,7.500
7.600,1,1.0000,0.1094,-0.587,502.000,5.49896,5.000,0.180,7.500
7.700,1,1.0000,0.1074,-0.538,503.000,6.29230,5.000,0.180,7.500
7.800,1,1.0000,0.1084,-0.538,503.000,5.68956,5.000,0.180,7.500
7.900,1,1.0000,0.1105,-0.587,502.000,5.69534,5.000,0.180,7.500
8.000,1,1.0000,0.1105,-0.587,502.000,6.01816,5.000,0.180,7.500
8.100,1,1.0000,0.1105,-0.587,502.000,4.76854,5.000,0.180,7.500
8.200,1,1.0000,0.1053,-0.587,502.000,6.38271,5.000,0.180,7.500
8.300,1,1.0000,0.1084,-0.587,502.000,6.07657,5.000,0.180,7.500
8.400,1,1.0000,0.1033,-0.587,502.000,6.88531,5.000,0.180,7.500
8.500,1,1.0000,0.1084,-0.587,502.000,5.80185,5.000,0.180,7.500
8.600,1,1.0000,0.1094,-0.587,502.000,5.35255,5.000,0.180,7.500
8.700,1,1.0000,0.1115,-0.587,502.000,5.66516,5.000,0.180,7.500
8.800,1,1.0000,0.1084,-0.587,502.000,5.08292,5.000,0.180,7.500
8.900,1,1.0000,0.1064,-0.587,502.000,5.72291,5.000,0.180,7.500
9.000,1,1.0000,0.1064,-0.587,502.000,5.89242,5.000,0.180,7.500
9.100,1,1.0000,0.1064,-0.538,503.000,5.55985,5.000,0.180,7.500
9.200,1,1.0000,0.1013,-0.587,502.000,6.71732,5.000,0.180,7.500
9.300,1,1.0000,0.1053,-0.587,502.000,6.25269,5.000,0.180,7.500
9.400,1,1.0000,0.1064,-0.587,502.000,5.95683,5.000,0.180,7.500
9.500,1,1.0000,0.1053,-0.587,502.000,5.36441,5.000,0.180,7.500
