time_s,mode,targetDepth_m,depth_m,error,current_A,currentRawAdc,u_PID,u_total,pwmLeft,pwmRight,Kp,Ki,Kd
0.100,1,1.0000,0.4879,0.5121,-0.098,512.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
0.200,1,1.0000,0.4920,0.5080,-0.342,507.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
0.300,1,1.0000,0.4950,0.5050,-0.293,508.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
0.400,1,1.0000,0.4889,0.5111,-1.906,475.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
0.500,1,1.0000,0.4797,0.5203,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
0.600,1,1.0000,0.4746,0.5254,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
0.700,1,1.0000,0.4848,0.5152,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
0.800,1,1.0000,0.4674,0.5326,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
0.900,1,1.0000,0.4797,0.5203,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
1.000,1,1.0000,0.4735,0.5265,-2.102,471.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
1.119,1,1.0000,0.4817,0.5183,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
1.207,1,1.0000,0.4684,0.5316,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
1.300,1,1.0000,0.4664,0.5336,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
1.400,1,1.0000,0.4756,0.5244,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
1.500,1,1.0000,0.4807,0.5193,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
1.600,1,1.0000,0.4787,0.5213,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
1.700,1,1.0000,0.4756,0.5244,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
1.800,1,1.0000,0.4868,0.5132,-1.906,475.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
1.900,1,1.0000,0.4899,0.5101,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
2.000,1,1.0000,0.4971,0.5029,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
2.100,1,1.0000,0.5206,0.4794,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
2.200,1,1.0000,0.5124,0.4876,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
2.300,1,1.0000,0.5196,0.4804,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
2.400,1,1.0000,0.5308,0.4692,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
2.500,1,1.0000,0.5482,0.4518,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
2.600,1,1.0000,0.5513,0.4487,-1.906,475.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
2.700,1,1.0000,0.5789,0.4211,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
2.800,1,1.0000,0.5758,0.4242,-1.906,475.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
2.900,1,1.0000,0.5820,0.4180,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
3.000,1,1.0000,0.5953,0.4047,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
3.100,1,1.0000,0.6198,0.3802,-1.906,475.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
3.200,1,1.0000,0.6219,0.3781,-1.906,475.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
3.300,1,1.0000,0.6484,0.3516,-2.102,471.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
3.400,1,1.0000,0.6454,0.3546,-1.857,476.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
3.500,1,1.0000,0.6351,0.3649,-1.808,477.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
3.600,1,1.0000,0.6546,0.3454,-1.906,475.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
3.700,1,1.0000,0.6505,0.3495,-1.906,475.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
3.800,1,1.0000,0.6536,0.3464,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
3.900,1,1.0000,0.6638,0.3362,-1.906,475.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
4.000,1,1.0000,0.6505,0.3495,-2.102,471.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
4.100,1,1.0000,0.6617,0.3383,-2.102,471.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
4.200,1,1.0000,0.6546,0.3454,-1.906,475.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
4.300,1,1.0000,0.6638,0.3362,-2.053,472.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
4.400,1,1.0000,0.6536,0.3464,-2.053,472.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
4.500,1,1.0000,0.6720,0.3280,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
4.600,1,1.0000,0.6577,0.3423,-1.906,475.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
4.700,1,1.0000,0.6679,0.3321,-1.906,475.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
4.800,1,1.0000,0.6607,0.3393,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
4.900,1,1.0000,0.6628,0.3372,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
5.000,1,1.0000,0.6566,0.3434,-1.906,475.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
5.100,1,1.0000,0.6525,0.3475,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
5.200,1,1.0000,0.6730,0.3270,-1.906,475.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
5.300,1,1.0000,0.6628,0.3372,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
5.400,1,1.0000,0.6720,0.3280,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
5.500,1,1.0000,0.6658,0.3342,-2.053,472.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
5.600,1,1.0000,0.7047,0.2953,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
5.700,1,1.0000,0.6802,0.3198,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
5.800,1,1.0000,0.7067,0.2933,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
5.900,1,1.0000,0.6975,0.3025,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
6.000,1,1.0000,0.7292,0.2708,-2.053,472.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
6.100,1,1.0000,0.7057,0.2943,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
6.200,1,1.0000,0.7241,0.2759,-2.151,470.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
6.300,1,1.0000,0.7221,0.2779,-2.053,472.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
6.400,1,1.0000,0.7436,0.2564,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
6.500,1,1.0000,0.7487,0.2513,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
6.600,1,1.0000,0.7466,0.2534,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
6.700,1,1.0000,0.7558,0.2442,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
6.800,1,1.0000,0.7610,0.2390,-2.053,472.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
6.900,1,1.0000,0.7681,0.2319,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
7.000,1,1.0000,0.7773,0.2227,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
7.100,1,1.0000,0.7763,0.2237,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
7.200,1,1.0000,0.7814,0.2186,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
7.300,1,1.0000,0.8008,0.1992,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
7.400,1,1.0000,0.8008,0.1992,-2.053,472.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
7.500,1,1.0000,0.8111,0.1889,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
7.600,1,1.0000,0.8049,0.1951,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
7.700,1,1.0000,0.8100,0.1900,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
7.800,1,1.0000,0.7855,0.2145,-2.053,472.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
7.900,1,1.0000,0.8111,0.1889,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
8.000,1,1.0000,0.7998,0.2002,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
8.100,1,1.0000,0.8019,0.1981,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
8.200,1,1.0000,0.7875,0.2125,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
8.300,1,1.0000,0.7783,0.2217,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
8.400,1,1.0000,0.7753,0.2247,-1.906,475.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
8.500,1,1.0000,0.7589,0.2411,-1.955,474.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
8.600,1,1.0000,0.7753,0.2247,-2.004,473.000,0.00000,0.40000,1340,1340,0.000,0.000,0.000
