Calibrating current sensor...
Make sure motor is NOT moving!
Zero ADC: 467.79
Zero voltage: 2.286
Test current (~0 A): -0.361
Starting test in 3 seconds...
Time_s,RPM,Current_A
0.010064,35.00,0.274291
0.020028,35.00,0.332942
0.030092,35.00,-0.585923
0.040080,35.00,0.083675
0.050028,35.00,-1.113782
0.060016,35.00,0.660410
0.070072,35.00,0.264516
0.080040,35.00,0.313392
0.090004,35.00,-1.045356
0.100072,35.00,-2.316129
0.110064,35.00,-0.356207
0.120048,35.00,0.758162
0.130024,35.00,0.665297
0.140096,35.00,-0.380645
0.150064,35.00,-0.204692
0.160048,35.00,-0.981817
0.170036,35.00,1.765006
0.180004,35.00,-0.263343
0.190080,35.00,-0.209579
0.200056,35.00,0.249853
0.210024,35.00,-0.849853
0.220004,35.00,1.413100
0.230060,35.00,-1.651416
0.240052,35.00,0.787487
0.250028,35.00,-0.375757
0.260004,35.00,-0.673900
0.270056,35.00,-0.194917
0.280028,35.00,-0.571260
0.290016,35.00,-0.727663
0.300008,35.00,-2.281916
0.310092,35.00,-2.101076
0.320068,35.00,-0.673900
0.330048,35.00,0.240078
0.340100,35.00,0.596871
0.350060,35.00,-0.761876
0.360028,35.00,-0.884066
0.370004,35.00,-1.152883
0.380092,35.00,-0.497947
0.390072,35.00,-0.351319
0.400048,35.00,-0.791202
0.410020,35.00,-1.074681
0.420008,35.00,0.567546
0.430068,35.00,1.017203
0.440028,35.00,-0.062952
0.450100,35.00,-1.934895
0.460084,35.00,0.230303
0.470044,35.00,-2.257478
0.480024,35.00,-0.341544
0.490100,35.00,0.313392
0.500060,35.00,0.191202
0.510016,35.00,0.978103
0.520080,35.00,0.679960
0.530024,35.00,-1.255522
0.540016,35.00,0.982990
0.550084,35.00,-0.414858
0.560076,35.00,0.181427
0.570032,35.00,-0.634799
0.580016,35.00,-0.585923
0.590008,35.00,-1.270187
0.600084,35.00,-0.336657
0.610064,35.00,0.699511
0.620024,35.00,-1.338611
0.630016,35.00,0.210752
